model,platform,matrix_rate,S_tokens,vector_share_pct
Qwen3-30B-A3B,RTX5000,peak,6933,6.7378
Qwen3-30B-A3B,RTX5000,peak,7571,7.0632
Qwen3-30B-A3B,RTX5000,peak,8268,7.3948
Qwen3-30B-A3B,RTX5000,peak,9029,7.7314
Qwen3-30B-A3B,RTX5000,peak,9859,8.0720
Qwen3-30B-A3B,RTX5000,peak,10767,8.4150
Qwen3-30B-A3B,RTX5000,peak,11757,8.7594
Qwen3-30B-A3B,RTX5000,peak,12839,9.1037
Qwen3-30B-A3B,RTX5000,peak,14021,9.4467
Qwen3-30B-A3B,RTX5000,peak,15311,9.7869
Qwen3-30B-A3B,RTX5000,peak,16719,10.1232
Qwen3-30B-A3B,RTX5000,peak,18258,10.4544
Qwen3-30B-A3B,RTX5000,peak,19938,10.7792
Qwen3-30B-A3B,RTX5000,peak,21772,11.0967
Qwen3-30B-A3B,RTX5000,peak,23775,11.4059
Qwen3-30B-A3B,RTX5000,peak,25963,11.7060
Qwen3-30B-A3B,RTX5000,peak,28352,11.9963
Qwen3-30B-A3B,RTX5000,peak,30961,12.2762
Qwen3-30B-A3B,RTX5000,peak,33809,12.5452
Qwen3-30B-A3B,RTX5000,peak,36920,12.8030
Qwen3-30B-A3B,RTX5000,peak,40317,13.0492
Qwen3-30B-A3B,RTX5000,peak,44027,13.2839
Qwen3-30B-A3B,RTX5000,peak,48077,13.5068
Qwen3-30B-A3B,RTX5000,peak,52501,13.7182
Qwen3-30B-A3B,RTX5000,peak,57332,13.9181
Qwen3-30B-A3B,RTX5000,peak,62607,14.1067
Qwen3-30B-A3B,RTX5000,peak,68367,14.2842
Qwen3-30B-A3B,RTX5000,peak,74657,14.4511
Qwen3-30B-A3B,RTX5000,peak,81527,14.6076
Qwen3-30B-A3B,RTX5000,peak,89028,14.7541
Qwen3-30B-A3B,RTX5000,peak,97219,14.8910
Qwen3-30B-A3B,RTX5000,peak,106164,15.0188
Qwen3-30B-A3B,RTX5000,peak,115932,15.1379
Qwen3-30B-A3B,RTX5000,peak,126599,15.2488
Qwen3-30B-A3B,RTX5000,peak,138247,15.3518
Qwen3-30B-A3B,RTX5000,peak,150967,15.4474
Qwen3-30B-A3B,RTX5000,peak,164857,15.5362
Qwen3-30B-A3B,RTX5000,peak,180026,15.6184
Qwen3-30B-A3B,RTX5000,peak,196590,15.6945
Qwen3-30B-A3B,RTX5000,peak,214678,15.7648
Qwen3-30B-A3B,RTX5000,peak,234430,15.8299
Qwen3-30B-A3B,RTX5000,peak,255999,15.8899
Qwen3-235B-A22B,B70,peak,1000,1.7943
Qwen3-235B-A22B,B70,peak,1092,1.8799
Qwen3-235B-A22B,B70,peak,1192,1.9725
Qwen3-235B-A22B,B70,peak,1302,2.0726
Qwen3-235B-A22B,B70,peak,1422,2.1809
Qwen3-235B-A22B,B70,peak,1552,2.2979
Qwen3-235B-A22B,B70,peak,1695,2.4241
Qwen3-235B-A22B,B70,peak,1851,2.5601
Qwen3-235B-A22B,B70,peak,2022,2.7066
Qwen3-235B-A22B,B70,peak,2208,2.8641
Qwen3-235B-A22B,B70,peak,2411,3.0332
Qwen3-235B-A22B,B70,peak,2633,3.2147
Qwen3-235B-A22B,B70,peak,2875,3.4090
Qwen3-235B-A22B,B70,peak,3140,3.6168
Qwen3-235B-A22B,B70,peak,3428,3.8386
Qwen3-235B-A22B,B70,peak,3744,4.0750
Qwen3-235B-A22B,B70,peak,4088,4.3264
Qwen3-235B-A22B,B70,peak,4465,4.5932
Qwen3-235B-A22B,B70,peak,4876,4.8758
Qwen3-235B-A22B,B70,peak,5324,5.1744
Qwen3-235B-A22B,B70,peak,5814,5.4892
Qwen3-235B-A22B,B70,peak,6349,5.8202
Qwen3-235B-A22B,B70,peak,6933,6.1673
Qwen3-235B-A22B,B70,peak,7571,6.5303
Qwen3-235B-A22B,B70,peak,8268,6.9087
Qwen3-235B-A22B,B70,peak,9029,7.3021
Qwen3-235B-A22B,B70,peak,9859,7.7097
Qwen3-235B-A22B,B70,peak,10767,8.1306
Qwen3-235B-A22B,B70,peak,11757,8.5639
Qwen3-235B-A22B,B70,peak,12839,9.0082
Qwen3-235B-A22B,B70,peak,14021,9.4623
Qwen3-235B-A22B,B70,peak,15311,9.9246
Qwen3-235B-A22B,B70,peak,16719,10.3936
Qwen3-235B-A22B,B70,peak,18258,10.8676
Qwen3-235B-A22B,B70,peak,19938,11.3447
Qwen3-235B-A22B,B70,peak,21772,11.8232
Qwen3-235B-A22B,B70,peak,23775,12.3012
Qwen3-235B-A22B,B70,peak,25963,12.7768
Qwen3-235B-A22B,B70,peak,28352,13.2482
Qwen3-235B-A22B,B70,peak,30961,13.7138
Qwen3-235B-A22B,B70,peak,33809,14.1718
Qwen3-235B-A22B,B70,peak,36920,14.6207
Qwen3-235B-A22B,B70,peak,40317,15.0591
Qwen3-235B-A22B,B70,peak,44027,15.4857
Qwen3-235B-A22B,B70,peak,48077,15.8994
Qwen3-235B-A22B,B70,peak,52501,16.2993
Qwen3-235B-A22B,B70,peak,57332,16.6845
Qwen3-235B-A22B,B70,peak,62607,17.0545
Qwen3-235B-A22B,B70,peak,68367,17.4088
Qwen3-235B-A22B,B70,peak,74657,17.7471
Qwen3-235B-A22B,B70,peak,81527,18.0692
Qwen3-235B-A22B,B70,peak,89028,18.3751
Qwen3-235B-A22B,B70,peak,97219,18.6649
Qwen3-235B-A22B,B70,peak,106164,18.9388
Qwen3-235B-A22B,B70,peak,115932,19.1971
Qwen3-235B-A22B,B70,peak,126599,19.4402
Qwen3-235B-A22B,B70,peak,138247,19.6685
Qwen3-235B-A22B,B70,peak,150967,19.8825
Qwen3-235B-A22B,B70,peak,164857,20.0828
Qwen3-235B-A22B,B70,peak,180026,20.2700
Qwen3-235B-A22B,B70,peak,196590,20.4446
Qwen3-235B-A22B,B70,peak,214678,20.6073
Qwen3-235B-A22B,B70,peak,234430,20.7586
Qwen3-235B-A22B,B70,peak,255999,20.8993
Qwen3-235B-A22B,RTX5000,peak,1000,1.1281
Qwen3-235B-A22B,RTX5000,peak,1092,1.1875
Qwen3-235B-A22B,RTX5000,peak,1192,1.2520
Qwen3-235B-A22B,RTX5000,peak,1302,1.3217
Qwen3-235B-A22B,RTX5000,peak,1422,1.3971
Qwen3-235B-A22B,RTX5000,peak,1552,1.4786
Qwen3-235B-A22B,RTX5000,peak,1695,1.5666
Qwen3-235B-A22B,RTX5000,peak,1851,1.6615
Qwen3-235B-A22B,RTX5000,peak,2022,1.7639
Qwen3-235B-A22B,RTX5000,peak,2208,1.8740
Qwen3-235B-A22B,RTX5000,peak,2411,1.9924
Qwen3-235B-A22B,RTX5000,peak,2633,2.1196
Qwen3-235B-A22B,RTX5000,peak,2875,2.2559
Qwen3-235B-A22B,RTX5000,peak,3140,2.4019
Qwen3-235B-A22B,RTX5000,peak,3428,2.5579
Qwen3-235B-A22B,RTX5000,peak,3744,2.7244
Qwen3-235B-A22B,RTX5000,peak,4088,2.9018
Qwen3-235B-A22B,RTX5000,peak,4465,3.0904
Qwen3-235B-A22B,RTX5000,peak,4876,3.2905
Qwen3-235B-A22B,RTX5000,peak,5324,3.5023
Qwen3-235B-A22B,RTX5000,peak,5814,3.7260
Qwen3-235B-A22B,RTX5000,peak,6349,3.9618
Qwen3-235B-A22B,RTX5000,peak,6933,4.2095
Qwen3-235B-A22B,RTX5000,peak,7571,4.4691
Qwen3-235B-A22B,RTX5000,peak,8268,4.7405
Qwen3-235B-A22B,RTX5000,peak,9029,5.0233
Qwen3-235B-A22B,RTX5000,peak,9859,5.3170
Qwen3-235B-A22B,RTX5000,peak,10767,5.6211
Qwen3-235B-A22B,RTX5000,peak,11757,5.9351
Qwen3-235B-A22B,RTX5000,peak,12839,6.2579
Qwen3-235B-A22B,RTX5000,peak,14021,6.5888
Qwen3-235B-A22B,RTX5000,peak,15311,6.9268
Qwen3-235B-A22B,RTX5000,peak,16719,7.2706
Qwen3-235B-A22B,RTX5000,peak,18258,7.6191
Qwen3-235B-A22B,RTX5000,peak,19938,7.9710
Qwen3-235B-A22B,RTX5000,peak,21772,8.3251
Qwen3-235B-A22B,RTX5000,peak,23775,8.6798
Qwen3-235B-A22B,RTX5000,peak,25963,9.0339
Qwen3-235B-A22B,RTX5000,peak,28352,9.3860
Qwen3-235B-A22B,RTX5000,peak,30961,9.7348
Qwen3-235B-A22B,RTX5000,peak,33809,10.0789
Qwen3-235B-A22B,RTX5000,peak,36920,10.4172
Qwen3-235B-A22B,RTX5000,peak,40317,10.7486
Qwen3-235B-A22B,RTX5000,peak,44027,11.0720
Qwen3-235B-A22B,RTX5000,peak,48077,11.3864
Qwen3-235B-A22B,RTX5000,peak,52501,11.6912
Qwen3-235B-A22B,RTX5000,peak,57332,11.9856
Qwen3-235B-A22B,RTX5000,peak,62607,12.2690
Qwen3-235B-A22B,RTX5000,peak,68367,12.5411
Qwen3-235B-A22B,RTX5000,peak,74657,12.8014
Qwen3-235B-A22B,RTX5000,peak,81527,13.0499
Qwen3-235B-A22B,RTX5000,peak,89028,13.2863
Qwen3-235B-A22B,RTX5000,peak,97219,13.5108
Qwen3-235B-A22B,RTX5000,peak,106164,13.7233
Qwen3-235B-A22B,RTX5000,peak,115932,13.9241
Qwen3-235B-A22B,RTX5000,peak,126599,14.1134
Qwen3-235B-A22B,RTX5000,peak,138247,14.2914
Qwen3-235B-A22B,RTX5000,peak,150967,14.4586
Qwen3-235B-A22B,RTX5000,peak,164857,14.6152
Qwen3-235B-A22B,RTX5000,peak,180026,14.7618
Qwen3-235B-A22B,RTX5000,peak,196590,14.8987
Qwen3-235B-A22B,RTX5000,peak,214678,15.0264
Qwen3-235B-A22B,RTX5000,peak,234430,15.1453
Qwen3-235B-A22B,RTX5000,peak,255999,15.2559
Qwen3-30B-A3B,B70,prac,1000,2.1943
Qwen3-30B-A3B,B70,prac,1092,2.2899
Qwen3-30B-A3B,B70,prac,1192,2.3928
Qwen3-30B-A3B,B70,prac,1302,2.5033
Qwen3-30B-A3B,B70,prac,1422,2.6219
Qwen3-30B-A3B,B70,prac,1552,2.7490
Qwen3-30B-A3B,B70,prac,1695,2.8850
Qwen3-30B-A3B,B70,prac,1851,3.0303
Qwen3-30B-A3B,B70,prac,2022,3.1853
Qwen3-30B-A3B,B70,prac,2208,3.3502
Qwen3-30B-A3B,B70,prac,2411,3.5253
Qwen3-30B-A3B,B70,prac,2633,3.7110
Qwen3-30B-A3B,B70,prac,2875,3.9073
Qwen3-30B-A3B,B70,prac,3140,4.1145
Qwen3-30B-A3B,B70,prac,3428,4.3326
Qwen3-30B-A3B,B70,prac,3744,4.5615
Qwen3-30B-A3B,B70,prac,4088,4.8011
Qwen3-30B-A3B,B70,prac,4465,5.0512
Qwen3-30B-A3B,B70,prac,4876,5.3115
Qwen3-30B-A3B,B70,prac,5324,5.5815
Qwen3-30B-A3B,B70,prac,5814,5.8607
Qwen3-30B-A3B,B70,prac,6349,6.1485
Qwen3-30B-A3B,B70,prac,6933,6.4440
Qwen3-30B-A3B,B70,prac,7571,6.7464
Qwen3-30B-A3B,B70,prac,8268,7.0547
Qwen3-30B-A3B,B70,prac,9029,7.3679
Qwen3-30B-A3B,B70,prac,9859,7.6849
Qwen3-30B-A3B,B70,prac,10767,8.0045
Qwen3-30B-A3B,B70,prac,11757,8.3254
Qwen3-30B-A3B,B70,prac,12839,8.6464
Qwen3-30B-A3B,B70,prac,14021,8.9664
Qwen3-30B-A3B,B70,prac,15311,9.2840
Qwen3-30B-A3B,B70,prac,16719,9.5980
Qwen3-30B-A3B,B70,prac,18258,9.9074
Qwen3-30B-A3B,B70,prac,19938,10.2111
Qwen3-30B-A3B,B70,prac,21772,10.5081
Qwen3-30B-A3B,B70,prac,23775,10.7975
Qwen3-30B-A3B,B70,prac,25963,11.0785
Qwen3-30B-A3B,B70,prac,28352,11.3504
Qwen3-30B-A3B,B70,prac,30961,11.6127
Qwen3-30B-A3B,B70,prac,33809,11.8649
Qwen3-30B-A3B,B70,prac,36920,12.1067
Qwen3-30B-A3B,B70,prac,40317,12.3377
Qwen3-30B-A3B,B70,prac,44027,12.5580
Qwen3-30B-A3B,B70,prac,48077,12.7674
Qwen3-30B-A3B,B70,prac,52501,12.9659
Qwen3-30B-A3B,B70,prac,57332,13.1537
Qwen3-30B-A3B,B70,prac,62607,13.3310
Qwen3-30B-A3B,B70,prac,68367,13.4979
Qwen3-30B-A3B,B70,prac,74657,13.6549
Qwen3-30B-A3B,B70,prac,81527,13.8021
Qwen3-30B-A3B,B70,prac,89028,13.9399
Qwen3-30B-A3B,B70,prac,97219,14.0688
Qwen3-30B-A3B,B70,prac,106164,14.1891
Qwen3-30B-A3B,B70,prac,115932,14.3013
Qwen3-30B-A3B,B70,prac,126599,14.4056
Qwen3-30B-A3B,B70,prac,138247,14.5027
Qwen3-30B-A3B,B70,prac,150967,14.5928
Qwen3-30B-A3B,B70,prac,164857,14.6764
Qwen3-30B-A3B,B70,prac,180026,14.7538
Qwen3-30B-A3B,B70,prac,196590,14.8255
Qwen3-30B-A3B,B70,prac,214678,14.8919
Qwen3-30B-A3B,B70,prac,234430,14.9532
Qwen3-30B-A3B,B70,prac,255999,15.0098
Qwen3-30B-A3B,RTX5000,prac,1000,1.4961
Qwen3-30B-A3B,RTX5000,prac,1092,1.5688
Qwen3-30B-A3B,RTX5000,prac,1192,1.6471
Qwen3-30B-A3B,RTX5000,prac,1302,1.7312
Qwen3-30B-A3B,RTX5000,prac,1422,1.8215
Qwen3-30B-A3B,RTX5000,prac,1552,1.9184
Qwen3-30B-A3B,RTX5000,prac,1695,2.0221
Qwen3-30B-A3B,RTX5000,prac,1851,2.1330
Qwen3-30B-A3B,RTX5000,prac,2022,2.2513
Qwen3-30B-A3B,RTX5000,prac,2208,2.3774
Qwen3-30B-A3B,RTX5000,prac,2411,2.5114
Qwen3-30B-A3B,RTX5000,prac,2633,2.6535
Qwen3-30B-A3B,RTX5000,prac,2875,2.8040
Qwen3-30B-A3B,RTX5000,prac,3140,2.9630
Qwen3-30B-A3B,RTX5000,prac,3428,3.1305
Qwen3-30B-A3B,RTX5000,prac,3744,3.3065
Qwen3-30B-A3B,RTX5000,prac,4088,3.4909
Qwen3-30B-A3B,RTX5000,prac,4465,3.6837
Qwen3-30B-A3B,RTX5000,prac,4876,3.8846
Qwen3-30B-A3B,RTX5000,prac,5324,4.0933
Qwen3-30B-A3B,RTX5000,prac,5814,4.3093
Qwen3-30B-A3B,RTX5000,prac,6349,4.5323
Qwen3-30B-A3B,RTX5000,prac,6933,4.7617
Qwen3-30B-A3B,RTX5000,prac,7571,4.9967
Qwen3-30B-A3B,RTX5000,prac,8268,5.2368
Qwen3-30B-A3B,RTX5000,prac,9029,5.4810
Qwen3-30B-A3B,RTX5000,prac,9859,5.7285
Qwen3-30B-A3B,RTX5000,prac,10767,5.9785
Qwen3-30B-A3B,RTX5000,prac,11757,6.2299
Qwen3-30B-A3B,RTX5000,prac,12839,6.4819
Qwen3-30B-A3B,RTX5000,prac,14021,6.7334
Qwen3-30B-A3B,RTX5000,prac,15311,6.9834
Qwen3-30B-A3B,RTX5000,prac,16719,7.2311
Qwen3-30B-A3B,RTX5000,prac,18258,7.4755
Qwen3-30B-A3B,RTX5000,prac,19938,7.7158
Qwen3-30B-A3B,RTX5000,prac,21772,7.9511
Qwen3-30B-A3B,RTX5000,prac,23775,8.1807
Qwen3-30B-A3B,RTX5000,prac,25963,8.4040
Qwen3-30B-A3B,RTX5000,prac,28352,8.6204
Qwen3-30B-A3B,RTX5000,prac,30961,8.8294
Qwen3-30B-A3B,RTX5000,prac,33809,9.0307
Qwen3-30B-A3B,RTX5000,prac,36920,9.2239
Qwen3-30B-A3B,RTX5000,prac,40317,9.4087
Qwen3-30B-A3B,RTX5000,prac,44027,9.5851
Qwen3-30B-A3B,RTX5000,prac,48077,9.7530
Qwen3-30B-A3B,RTX5000,prac,52501,9.9123
Qwen3-30B-A3B,RTX5000,prac,57332,10.0632
Qwen3-30B-A3B,RTX5000,prac,62607,10.2058
Qwen3-30B-A3B,RTX5000,prac,68367,10.3401
Qwen3-30B-A3B,RTX5000,prac,74657,10.4665
Qwen3-30B-A3B,RTX5000,prac,81527,10.5852
Qwen3-30B-A3B,RTX5000,prac,89028,10.6964
Qwen3-30B-A3B,RTX5000,prac,97219,10.8005
Qwen3-30B-A3B,RTX5000,prac,106164,10.8977
Qwen3-30B-A3B,RTX5000,prac,115932,10.9883
Qwen3-30B-A3B,RTX5000,prac,126599,11.0727
Qwen3-30B-A3B,RTX5000,prac,138247,11.1513
Qwen3-30B-A3B,RTX5000,prac,150967,11.2242
Qwen3-30B-A3B,RTX5000,prac,164857,11.2919
Qwen3-30B-A3B,RTX5000,prac,180026,11.3547
Qwen3-30B-A3B,RTX5000,prac,196590,11.4128
Qwen3-30B-A3B,RTX5000,prac,214678,11.4666
Qwen3-30B-A3B,RTX5000,prac,234430,11.5163
Qwen3-30B-A3B,RTX5000,prac,255999,11.5623
Qwen3-235B-A22B,B70,prac,1000,1.1504
Qwen3-235B-A22B,B70,prac,1092,1.2056
Qwen3-235B-A22B,B70,prac,1192,1.2654
Qwen3-235B-A22B,B70,prac,1302,1.3302
Qwen3-235B-A22B,B70,prac,1422,1.4002
Qwen3-235B-A22B,B70,prac,1552,1.4759
Qwen3-235B-A22B,B70,prac,1695,1.5577
Qwen3-235B-A22B,B70,prac,1851,1.6459
Qwen3-235B-A22B,B70,prac,2022,1.7410
Qwen3-235B-A22B,B70,prac,2208,1.8434
Qwen3-235B-A22B,B70,prac,2411,1.9535
Qwen3-235B-A22B,B70,prac,2633,2.0717
Qwen3-235B-A22B,B70,prac,2875,2.1985
Qwen3-235B-A22B,B70,prac,3140,2.3343
Qwen3-235B-A22B,B70,prac,3428,2.4795
Qwen3-235B-A22B,B70,prac,3744,2.6345
Qwen3-235B-A22B,B70,prac,4088,2.7996
Qwen3-235B-A22B,B70,prac,4465,2.9752
Qwen3-235B-A22B,B70,prac,4876,3.1616
Qwen3-235B-A22B,B70,prac,5324,3.3589
Qwen3-235B-A22B,B70,prac,5814,3.5674
Qwen3-235B-A22B,B70,prac,6349,3.7872
Qwen3-235B-A22B,B70,prac,6933,4.0182
Qwen3-235B-A22B,B70,prac,7571,4.2604
Qwen3-235B-A22B,B70,prac,8268,4.5137
Qwen3-235B-A22B,B70,prac,9029,4.7777
Qwen3-235B-A22B,B70,prac,9859,5.0520
Qwen3-235B-A22B,B70,prac,10767,5.3363
Qwen3-235B-A22B,B70,prac,11757,5.6297
Qwen3-235B-A22B,B70,prac,12839,5.9317
Qwen3-235B-A22B,B70,prac,14021,6.2413
Qwen3-235B-A22B,B70,prac,15311,6.5577
Qwen3-235B-A22B,B70,prac,16719,6.8798
Qwen3-235B-A22B,B70,prac,18258,7.2064
Qwen3-235B-A22B,B70,prac,19938,7.5363
Qwen3-235B-A22B,B70,prac,21772,7.8685
Qwen3-235B-A22B,B70,prac,23775,8.2014
Qwen3-235B-A22B,B70,prac,25963,8.5339
Qwen3-235B-A22B,B70,prac,28352,8.8647
Qwen3-235B-A22B,B70,prac,30961,9.1926
Qwen3-235B-A22B,B70,prac,33809,9.5162
Qwen3-235B-A22B,B70,prac,36920,9.8346
Qwen3-235B-A22B,B70,prac,40317,10.1465
Qwen3-235B-A22B,B70,prac,44027,10.4511
Qwen3-235B-A22B,B70,prac,48077,10.7474
Qwen3-235B-A22B,B70,prac,52501,11.0347
Qwen3-235B-A22B,B70,prac,57332,11.3123
Qwen3-235B-A22B,B70,prac,62607,11.5797
Qwen3-235B-A22B,B70,prac,68367,11.8365
Qwen3-235B-A22B,B70,prac,74657,12.0824
Qwen3-235B-A22B,B70,prac,81527,12.3170
Qwen3-235B-A22B,B70,prac,89028,12.5405
Qwen3-235B-A22B,B70,prac,97219,12.7526
Qwen3-235B-A22B,B70,prac,106164,12.9536
Qwen3-235B-A22B,B70,prac,115932,13.1435
Qwen3-235B-A22B,B70,prac,126599,13.3226
Qwen3-235B-A22B,B70,prac,138247,13.4911
Qwen3-235B-A22B,B70,prac,150967,13.6493
Qwen3-235B-A22B,B70,prac,164857,13.7976
Qwen3-235B-A22B,B70,prac,180026,13.9364
Qwen3-235B-A22B,B70,prac,196590,14.0661
Qwen3-235B-A22B,B70,prac,214678,14.1871
Qwen3-235B-A22B,B70,prac,234430,14.2998
Qwen3-235B-A22B,B70,prac,255999,14.4046
Qwen3-235B-A22B,RTX5000,prac,1000,0.7834
Qwen3-235B-A22B,RTX5000,prac,1092,0.8248
Qwen3-235B-A22B,RTX5000,prac,1192,0.8698
Qwen3-235B-A22B,RTX5000,prac,1302,0.9184
Qwen3-235B-A22B,RTX5000,prac,1422,0.9710
Qwen3-235B-A22B,RTX5000,prac,1552,1.0279
Qwen3-235B-A22B,RTX5000,prac,1695,1.0894
Qwen3-235B-A22B,RTX5000,prac,1851,1.1558
Qwen3-235B-A22B,RTX5000,prac,2022,1.2273
Qwen3-235B-A22B,RTX5000,prac,2208,1.3044
Qwen3-235B-A22B,RTX5000,prac,2411,1.3873
Qwen3-235B-A22B,RTX5000,prac,2633,1.4765
Qwen3-235B-A22B,RTX5000,prac,2875,1.5721
Qwen3-235B-A22B,RTX5000,prac,3140,1.6746
Qwen3-235B-A22B,RTX5000,prac,3428,1.7842
Qwen3-235B-A22B,RTX5000,prac,3744,1.9014
Qwen3-235B-A22B,RTX5000,prac,4088,2.0263
Qwen3-235B-A22B,RTX5000,prac,4465,2.1592
Qwen3-235B-A22B,RTX5000,prac,4876,2.3005
Qwen3-235B-A22B,RTX5000,prac,5324,2.4502
Qwen3-235B-A22B,RTX5000,prac,5814,2.6085
Qwen3-235B-A22B,RTX5000,prac,6349,2.7756
Qwen3-235B-A22B,RTX5000,prac,6933,2.9514
Qwen3-235B-A22B,RTX5000,prac,7571,3.1360
Qwen3-235B-A22B,RTX5000,prac,8268,3.3292
Qwen3-235B-A22B,RTX5000,prac,9029,3.5309
Qwen3-235B-A22B,RTX5000,prac,9859,3.7408
Qwen3-235B-A22B,RTX5000,prac,10767,3.9586
Qwen3-235B-A22B,RTX5000,prac,11757,4.1838
Qwen3-235B-A22B,RTX5000,prac,12839,4.4158
Qwen3-235B-A22B,RTX5000,prac,14021,4.6542
Qwen3-235B-A22B,RTX5000,prac,15311,4.8981
Qwen3-235B-A22B,RTX5000,prac,16719,5.1468
Qwen3-235B-A22B,RTX5000,prac,18258,5.3994
Qwen3-235B-A22B,RTX5000,prac,19938,5.6551
Qwen3-235B-A22B,RTX5000,prac,21772,5.9129
Qwen3-235B-A22B,RTX5000,prac,23775,6.1718
Qwen3-235B-A22B,RTX5000,prac,25963,6.4308
Qwen3-235B-A22B,RTX5000,prac,28352,6.6889
Qwen3-235B-A22B,RTX5000,prac,30961,6.9451
Qwen3-235B-A22B,RTX5000,prac,33809,7.1985
Qwen3-235B-A22B,RTX5000,prac,36920,7.4481
