CSV,clock,sustained_sm_clock,2.5769,GHz,
CSV,shared_bw,stride32_conflict_read,1133.8243,GB/s,32-bit ld.shared stride32
CSV,atomics,global_same_addr,73.4642,Gops/s,
CSV,atomics,global_spread,470.9188,Gops/s,
CSV,atomics,shared_same_addr,4179.2816,Gops/s,
CSV,atomics,shared_spread,4260.2118,Gops/s,
CSV,tlb_latency,stride_4KB,463.5811,cycles,random touch ldcg
CSV,tlb_pages,stride_4KB,65536.0000,pages,
CSV,tlb_latency,stride_16KB,463.1357,cycles,random touch ldcg
CSV,tlb_pages,stride_16KB,65536.0000,pages,
CSV,tlb_latency,stride_64KB,458.2383,cycles,random touch ldcg
CSV,tlb_pages,stride_64KB,32768.0000,pages,
CSV,tlb_latency,stride_256KB,445.1108,cycles,random touch ldcg
CSV,tlb_pages,stride_256KB,8192.0000,pages,
CSV,tlb_latency,stride_1024KB,445.5182,cycles,random touch ldcg
CSV,tlb_pages,stride_1024KB,2048.0000,pages,
CSV,tlb_latency,stride_4096KB,446.2300,cycles,random touch ldcg
CSV,tlb_pages,stride_4096KB,512.0000,pages,
CSV,tlb_latency,stride_16384KB,446.7879,cycles,random touch ldcg
CSV,tlb_pages,stride_16384KB,128.0000,pages,
CSV,tlb_latency,stride_65536KB,451.5938,cycles,random touch ldcg
CSV,tlb_pages,stride_65536KB,32.0000,pages,
