-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
              vllm:v2/target/decode/prepare_attn_tables         0.00%       0.000us         0.00%       0.000us       0.000us       1.547ms         1.16%       1.547ms      61.895us            25  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us       1.473ms         1.11%       1.473ms      30.696us            48  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us       1.179ms         0.88%       1.179ms      24.557us            48  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us     956.083us         0.72%     956.083us      19.918us            48  
                                  cudaStreamIsCapturing         0.02%     159.340us         0.02%     159.340us       0.522us     904.368us         0.68%     904.368us       2.965us           305  
                               cudaEventRecordWithFlags         0.02%     223.823us         0.02%     223.823us       1.599us     891.505us         0.67%     891.505us       6.368us           140  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     885.746us         0.66%     885.746us     885.746us             1  
                        _quantize_dense_tk_to_tk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     861.049us         0.65%     861.049us       4.305us           200  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     635.126us         0.48%     635.126us       8.468us            75  
kernel_cutlass_kernel_b12xintegrationresidual_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     606.812us         0.46%     606.812us       6.068us           100  
                                            aten::copy_         0.17%       1.551ms         1.13%      10.198ms      53.672us     585.784us         0.44%     585.784us       3.083us           190  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us     525.341us         0.39%     525.341us      10.945us            48  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     469.531us         0.35%     469.531us       0.783us           600  
kernel_cutlass_kernel_b12xintegrationresidual_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     450.811us         0.34%     450.811us      18.032us            25  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     421.017us         0.32%     421.017us       1.531us           275  
                 _quantize_group_major_trg_to_tk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     354.009us         0.27%     354.009us       7.080us            50  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     348.406us         0.26%     348.406us       0.903us           386  
kernel_cutlass_kernel_b12xattentionmlamergeSparseMLA...         0.00%       0.000us         0.00%       0.000us       0.000us     345.815us         0.26%     345.815us       6.916us            50  
void vllm::moe::topkGatingSoftplusSqrt<8, 256, 4, 16...         0.00%       0.000us         0.00%       0.000us       0.000us     319.292us         0.24%     319.292us       6.386us            50  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     289.723us         0.22%     289.723us       7.243us            40  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     270.167us         0.20%     270.167us       6.140us            44  
kernel_cutlass_kernel_b12xmoefusedsiluMoEMicroKernel...         0.00%       0.000us         0.00%       0.000us       0.000us     229.373us         0.17%     229.373us     114.686us             2  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     192.537us         0.14%     192.537us       7.701us            25  
                           hc_head_fuse_tilelang_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     185.886us         0.14%     185.886us       7.435us            25  
void vllm::deepseek_v4_fused_ops::fusedDeepseekV4QNo...         0.00%       0.000us         0.00%       0.000us       0.000us     171.768us         0.13%     171.768us       3.435us            50  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     159.835us         0.12%     159.835us       6.393us            25  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     158.686us         0.12%     158.686us       6.347us            25  
                                            aten::index         0.16%       1.479ms         0.28%       2.546ms      33.951us     152.732us         0.11%     152.732us       2.036us            75  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     117.600us         0.09%     117.600us       2.450us            48  
                                              memcpy128         0.00%       0.000us         0.00%       0.000us       0.000us     112.537us         0.08%     112.537us       1.680us            67  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us     110.047us         0.08%     110.047us       2.201us            50  
                     vllm:v2/target/decode/async_output         0.00%       0.000us         0.00%       0.000us       0.000us     106.430us         0.08%     106.430us       4.257us            25  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us     106.270us         0.08%     106.270us      53.135us             2  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      80.767us         0.06%      80.767us       3.231us            25  
              vllm:v2/target/decode/postprocess_sampled         0.00%       0.000us         0.00%       0.000us       0.000us      80.767us         0.06%      80.767us       3.231us            25  
                                           aten::argmax         0.05%     423.956us         0.07%     609.133us      24.365us      73.698us         0.06%      73.698us       2.948us            25  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      73.698us         0.06%      73.698us       2.948us            25  
                             _fused_q_kv_rmsnorm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      72.156us         0.05%      72.156us       1.443us            50  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      71.394us         0.05%      71.394us       1.552us            46  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us      69.310us         0.05%      69.310us      34.655us             2  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      68.126us         0.05%      68.126us       2.725us            25  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us      67.583us         0.05%      67.583us      33.792us             2  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      64.187us         0.05%      64.187us       6.419us            10  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us      59.486us         0.04%      59.486us      29.743us             2  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      58.944us         0.04%      58.944us       1.179us            50  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      57.819us         0.04%      57.819us       2.313us            25  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      56.601us         0.04%      56.601us       1.132us            50  
                                       cuLaunchKernelEx         0.22%       2.021ms         0.22%       2.021ms       8.086us      54.303us         0.04%      54.303us       0.217us           250  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      54.048us         0.04%      54.048us       2.162us            25  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us      51.839us         0.04%      51.839us       2.074us            25  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us      50.718us         0.04%      50.718us      12.680us             4  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      50.013us         0.04%      50.013us       2.001us            25  
                                            aten::fill_         0.17%       1.577ms         0.21%       1.920ms      16.844us      49.948us         0.04%      49.948us       0.438us           114  
                   _compute_swa_indices_and_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      48.576us         0.04%      48.576us       1.943us            25  
                                           aten::gather         0.04%     381.958us         0.07%     588.540us      23.542us      44.891us         0.03%      44.891us       1.796us            25  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      44.891us         0.03%      44.891us       1.796us            25  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      32.927us         0.02%      32.927us       1.317us            25  
kernel_cutlass_kernel_pertok_b12xattentionmlakernelU...         0.00%       0.000us         0.00%       0.000us       0.000us      29.472us         0.02%      29.472us      14.736us             2  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      28.736us         0.02%      28.736us       1.149us            25  
                                               aten::ge         0.08%     711.970us         0.11%       1.030ms      41.193us      25.887us         0.02%      25.887us       1.035us            25  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      25.887us         0.02%      25.887us       1.035us            25  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      24.480us         0.02%      24.480us       0.979us            25  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      22.046us         0.02%      22.046us       7.349us             3  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      20.418us         0.02%      20.418us       0.408us            50  
                                           aten::arange         0.05%     460.216us         0.23%       2.098ms      41.958us      19.068us         0.01%      38.136us       0.763us            50  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      19.068us         0.01%      19.068us       0.763us            25  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      10.848us         0.01%      10.848us       0.271us            40  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       8.992us         0.01%       8.992us       4.496us             2  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.928us         0.00%       4.928us       4.928us             1  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.593us         0.00%       2.593us       0.648us             4  
                                   cudaEventSynchronize         0.08%     702.486us         0.08%     702.486us      28.099us       0.800us         0.00%       0.800us       0.032us            25  
                         threading.py(1030): _bootstrap         0.00%       3.547us       150.01%        1.357s     226.190ms       0.000us         0.00%       0.000us       0.000us             6  
                   threading.py(1073): _bootstrap_inner         0.00%       7.767us       150.01%        1.357s     226.190ms       0.000us         0.00%       0.000us       0.000us             6  
                                threading.py(1010): run         0.00%      14.104us       100.01%     904.772ms     226.193ms       0.000us         0.00%       0.000us       0.000us             4  
                     vllm/v1/engine/utils.py(272): _run         0.00%       3.465us        25.00%     226.212ms     226.212ms       0.000us         0.00%       0.000us       0.000us             1  
                                threading.py(655): wait         0.00%       4.425us        75.00%     678.567ms     226.189ms       0.000us         0.00%       0.000us       0.000us             3  
                                threading.py(355): wait         0.12%       1.058ms        25.12%     227.285ms     113.642ms       0.000us         0.00%       0.000us       0.000us             2  
vllm/v1/engine/core.py(1593): process_output_sockets...         0.10%     870.750us        25.00%     226.197ms     226.197ms       0.000us         0.00%       0.000us       0.000us             1  
                                     queue.py(171): get         0.00%      16.889us         0.12%       1.111ms       1.111ms       0.000us         0.00%       0.000us       0.000us             1  
    vllm/v1/engine/core.py(1526): process_input_sockets         0.35%       3.124ms        25.00%     226.188ms     226.188ms       0.000us         0.00%       0.000us       0.000us             1  
                           zmq/sugar/poll.py(106): poll         0.86%       7.772ms         0.86%       7.772ms       7.772ms       0.000us         0.00%       0.000us       0.000us             1  
                              tqdm/_monitor.py(69): run         0.00%       0.527us        50.00%     452.358ms     226.179ms       0.000us         0.00%       0.000us       0.000us             2  
                                threading.py(359): wait         0.00%      10.754us        50.00%     452.356ms     226.178ms       0.000us         0.00%       0.000us       0.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 904.723ms
Self CUDA time total: 133.336ms

