-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us       1.524ms         1.06%       1.524ms      16.562us            92  
                        _quantize_dense_tk_to_tk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.477ms         1.03%       1.477ms       7.100us           208  
                          vllm:v2/target/prepare_inputs         0.00%       0.000us         0.00%       0.000us       0.000us       1.329ms         0.93%       1.329ms      51.130us            26  
                                  Lazy Function Loading         0.03%     186.277us         0.03%     186.277us      93.139us     894.386us         0.62%     894.386us     447.193us             2  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     888.242us         0.62%     888.242us     444.121us             2  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     884.657us         0.62%     884.657us     442.329us             2  
             _quantize_attention_inv_rope_to_tdg_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     883.791us         0.62%     883.791us      16.996us            52  
                                            aten::copy_         0.31%       1.706ms         2.23%      12.203ms      55.466us     881.199us         0.62%     881.199us       4.005us           220  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us     785.655us         0.55%     785.655us      17.079us            46  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     726.133us         0.51%     726.133us       1.164us           624  
kernel_cutlass_kernel_b12xintegrationresidual_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     638.230us         0.45%     638.230us       6.137us           104  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us     530.544us         0.37%     530.544us      11.053us            48  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     497.397us         0.35%     497.397us       6.377us            78  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     467.961us         0.33%     467.961us      66.852us             7  
kernel_cutlass_kernel_b12xintegrationresidual_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us     450.232us         0.31%     450.232us      17.317us            26  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     449.145us         0.31%     449.145us     449.145us             1  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     373.177us         0.26%     373.177us       7.464us            50  
              vllm:v2/target/decode/prepare_attn_tables         0.00%       0.000us         0.00%       0.000us       0.000us     369.846us         0.26%     369.846us      14.225us            26  
              vllm:v2/target/decode/build_attn_metadata         0.00%       0.000us         0.00%       0.000us       0.000us     306.043us         0.21%     306.043us      11.771us            26  
                                    _apply_write_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     270.654us         0.19%     270.654us       6.766us            40  
void vllm::moe::topkGatingSoftplusSqrt<8, 256, 4, 16...         0.00%       0.000us         0.00%       0.000us       0.000us     265.498us         0.19%     265.498us       5.106us            52  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     258.615us         0.18%     258.615us       4.973us            52  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     247.229us         0.17%     247.229us       5.886us            42  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us     245.113us         0.17%     245.113us       3.953us            62  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us     241.597us         0.17%     241.597us       5.752us            42  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us     223.965us         0.16%     223.965us      18.664us            12  
kernel_cutlass_kernel_b12xattentionmlamergeSparseMLA...         0.00%       0.000us         0.00%       0.000us       0.000us     216.224us         0.15%     216.224us       4.158us            52  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us     203.483us         0.14%     203.483us      12.718us            16  
                 _quantize_group_major_trg_to_tk_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     198.430us         0.14%     198.430us       3.816us            52  
                           hc_head_fuse_tilelang_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     194.905us         0.14%     194.905us       7.496us            26  
void vllm::moe::moe_align_block_size_kernel<int>(int...         0.00%       0.000us         0.00%       0.000us       0.000us     193.597us         0.14%     193.597us       3.723us            52  
                            _gather_block_tables_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     184.153us         0.13%     184.153us       7.083us            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     172.388us         0.12%     172.388us       0.770us           224  
               _combine_sampled_and_draft_tokens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     165.147us         0.12%     165.147us       6.352us            26  
                   _get_num_sampled_and_rejected_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     164.832us         0.12%     164.832us       6.340us            26  
                                            aten::index         0.29%       1.590ms         0.52%       2.821ms      36.163us     155.993us         0.11%     155.993us       2.000us            78  
void vllm::deepseek_v4_fused_ops::fusedDeepseekV4QNo...         0.00%       0.000us         0.00%       0.000us       0.000us     148.733us         0.10%     148.733us       2.860us            52  
                                          memcpy32_post         0.00%       0.000us         0.00%       0.000us       0.000us     100.639us         0.07%     100.639us       0.883us           114  
kernel_cutlass_kernel_b12xgemmdenseDenseGemmKernel_o...         0.00%       0.000us         0.00%       0.000us       0.000us      99.872us         0.07%      99.872us      16.645us             6  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us      98.013us         0.07%      98.013us       2.042us            48  
                     vllm:v2/target/decode/async_output         0.00%       0.000us         0.00%       0.000us       0.000us      97.983us         0.07%      97.983us       3.769us            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      77.153us         0.05%      77.153us       1.484us            52  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      77.120us         0.05%      77.120us       1.483us            52  
void vllm::moe::count_and_sort_expert_tokens_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      77.083us         0.05%      77.083us       1.482us            52  
                                              memcpy128         0.00%       0.000us         0.00%       0.000us       0.000us      76.703us         0.05%      76.703us       1.346us            57  
                                    _post_update_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      74.913us         0.05%      74.913us       2.881us            26  
              vllm:v2/target/decode/postprocess_sampled         0.00%       0.000us         0.00%       0.000us       0.000us      74.913us         0.05%      74.913us       2.881us            26  
                             _fused_q_kv_rmsnorm_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      74.271us         0.05%      74.271us       1.428us            52  
                         _prepare_prefill_inputs_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      74.079us         0.05%      74.079us       7.408us            10  
                                           aten::argmax         0.11%     576.626us         0.15%     800.817us      30.801us      72.510us         0.05%      72.510us       2.789us            26  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      72.510us         0.05%      72.510us       2.789us            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      70.145us         0.05%      70.145us       1.209us            58  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      63.843us         0.04%      63.843us       1.228us            52  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      63.774us         0.04%      63.774us       1.417us            45  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      60.697us         0.04%      60.697us       1.517us            40  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      59.390us         0.04%      59.390us       2.284us            26  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      56.928us         0.04%      56.928us       2.190us            26  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 2>(c10:...         0.00%       0.000us         0.00%       0.000us       0.000us      55.296us         0.04%      55.296us       2.127us            26  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      54.780us         0.04%      54.780us       2.107us            26  
                          _compute_slot_mappings_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      52.319us         0.04%      52.319us       2.012us            26  
                   _compute_swa_indices_and_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      49.279us         0.03%      49.279us       1.895us            26  
                                            aten::fill_         0.09%     466.704us         0.16%     852.445us       7.349us      41.954us         0.03%      41.954us       0.362us           116  
                                           aten::gather         0.07%     367.177us         0.11%     599.326us      23.051us      39.265us         0.03%      39.265us       1.510us            26  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      39.265us         0.03%      39.265us       1.510us            26  
                           _prepare_pos_seq_lens_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      28.640us         0.02%      28.640us       1.102us            26  
                                               aten::ge         0.13%     705.495us         0.19%       1.018ms      39.151us      27.299us         0.02%      27.299us       1.050us            26  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.299us         0.02%      27.299us       1.050us            26  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      25.312us         0.02%      25.312us       0.974us            26  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      22.144us         0.02%      22.144us       4.429us             5  
triton_poi_fused_add_bitwise_and_bitwise_not_bitwise...         0.00%       0.000us         0.00%       0.000us       0.000us      20.127us         0.01%      20.127us       0.839us            24  
                                           aten::arange         0.08%     457.196us         0.37%       2.005ms      38.560us      19.745us         0.01%      39.490us       0.759us            52  
void (anonymous namespace)::elementwise_kernel_with_...         0.00%       0.000us         0.00%       0.000us       0.000us      19.745us         0.01%      19.745us       0.759us            26  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      16.447us         0.01%      16.447us       4.112us             4  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       9.664us         0.01%       9.664us       4.832us             2  
triton_poi_fused_add_bitwise_and_bitwise_or_ge_lt_mu...         0.00%       0.000us         0.00%       0.000us       0.000us       2.336us         0.00%       2.336us       1.168us             2  
triton_poi_fused_bitwise_and_bitwise_not_bitwise_or_...         0.00%       0.000us         0.00%       0.000us       0.000us       2.240us         0.00%       2.240us       1.120us             2  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.952us         0.00%       1.952us       1.952us             1  
                         threading.py(1030): _bootstrap         0.00%       4.428us       166.68%     910.529ms     182.106ms       0.000us         0.00%       0.000us       0.000us             5  
                   threading.py(1073): _bootstrap_inner         0.00%       5.213us       166.67%     910.525ms     182.105ms       0.000us         0.00%       0.000us       0.000us             5  
                              tqdm/_monitor.py(69): run         0.00%       3.439us        66.67%     364.223ms     182.112ms       0.000us         0.00%       0.000us       0.000us             2  
                                threading.py(655): wait         0.00%       6.391us        66.67%     364.220ms     182.110ms       0.000us         0.00%       0.000us       0.000us             2  
                                threading.py(359): wait         0.00%      15.707us        66.67%     364.213ms     182.107ms       0.000us         0.00%       0.000us       0.000us             2  
                                threading.py(1010): run         0.00%       7.559us       100.00%     546.297ms     182.099ms       0.000us         0.00%       0.000us       0.000us             3  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 546.290ms
Self CUDA time total: 143.280ms

